sv,mean,median,se,ci_lo,ci_hi
SV0,3.4270833333333335,3.375,0.20604495004051437,3.0104166666666665,3.8020833333333335
SV1,3.7291666666666665,3.875,0.14505485802188353,3.4479166666666665,4
SV2,3.4583333333333335,3.375,0.1673446355672631,3.1354166666666665,3.7708333333333335
SV3,3.9375,4.25,0.153646792861165,3.625,4.21875
