sv,mean,median,se,ci_lo,ci_hi
SV0,0.5208333333333334,0.5,0.047387994056262046,0.42708333333333337,0.6145833333333334
SV1,0.6666666666666666,0.75,0.04166666666666667,0.5833333333333334,0.75
SV2,0.6145833333333334,0.625,0.05208333333333333,0.5104166666666666,0.7083333333333334
SV3,0.7083333333333334,0.75,0.03885436701001308,0.6354166666666666,0.78125
