sv,mean,median,se,ci_lo,ci_hi
SV0,79462.3125,50388.75,15037.829118545073,54594.38776041666,111537.30963541668
SV1,65134.322916666664,64704.75,5161.544273428917,55237.23828125,75535.73046874999
SV2,56496.35416666667,50627,4577.724116689734,47577.792187499996,65183.51171874999
SV3,58993.30208333333,41188.5,12431.959972521385,41470.21302083333,85553.28203125
